city,state_id,state_name,county_name,population,lat,lng
Rockledge,FL,Florida,,24926,28.35084,-80.72533
Hastings,NE,Nebraska,,24924,40.58612,-98.38839
Cave Spring,VA,Virginia,,24922,37.22764,-80.01282
North Tustin,CA,California,,24917,33.76446,-117.79394
East Amherst,NY,New York,,24914,43.01839,-78.6967
Daphne,AL,Alabama,,24896,30.60353,-87.9036
Whitehall Township,PA,Pennsylvania,,24896,40.66676,-75.49991
Paducah,KY,Kentucky,,24864,37.08339,-88.60005
Cliffside Park,NJ,New Jersey,,24857,40.82149,-73.98764
Elmwood Park,IL,Illinois,,24840,41.92114,-87.80923
Vineyard,CA,California,,24836,38.46449,-121.34692
Lodi,NJ,New Jersey,,24835,40.88232,-74.0832
Hazleton,PA,Pennsylvania,,24825,40.95842,-75.97465
Coronado,CA,California,,24812,32.68589,-117.18309
Hillside,NY,New York,,24808,40.70788,-73.7868
Eagle River,AK,Alaska,,24793,61.32139,-149.56778
South Salt Lake,UT,Utah,,24788,40.71884,-111.88827
Paris,TX,Texas,,24782,33.66094,-95.55551
Mō‘ili‘ili,HI,Hawaii,,24778,21.29467,-157.83002
Northport,AL,Alabama,,24772,33.22901,-87.57723
University Park,TX,Texas,,24759,32.85013,-96.80028
Uniondale,NY,New York,,24759,40.70038,-73.59291
Ponca City,OK,Oklahoma,,24758,36.70698,-97.08559
Muskego,WI,Wisconsin,,24755,42.90585,-88.13898
Collinsville,IL,Illinois,,24754,38.67033,-89.98455
Reading,MA,Massachusetts,,24747,42.52565,-71.09533
Short Pump,VA,Virginia,,24729,37.65042,-77.61249
Belmont,MA,Massachusetts,,24729,42.39593,-71.17867
Dedham,MA,Massachusetts,,24729,42.24177,-71.16616
De Pere,WI,Wisconsin,,24724,44.44888,-88.06038
Caledonia,WI,Wisconsin,,24684,42.8078,-87.92425
Inkster,MI,Michigan,,24672,42.2942,-83.30993
Vincentown,NJ,New Jersey,,24664,39.934,-74.74849
Bixby,OK,Oklahoma,,24657,35.94204,-95.88332
Emporia,KS,Kansas,,24649,38.4039,-96.18166
Fort Dodge,IA,Iowa,,24649,42.49747,-94.16802
Walker,MI,Michigan,,24647,43.00141,-85.76809
Ottumwa,IA,Iowa,,24624,41.02001,-92.4113
Junction City,KS,Kansas,,24621,39.02861,-96.8314
Seal Beach,CA,California,,24619,33.74141,-118.10479
Tarpon Springs,FL,Florida,,24605,28.14612,-82.75677
Franklin,IN,Indiana,,24598,39.48061,-86.05499
Herndon,VA,Virginia,,24568,38.96955,-77.3861
Austin,MN,Minnesota,,24563,43.66663,-92.97464
Sachse,TX,Texas,,24554,32.97623,-96.59527
Sun City West,AZ,Arizona,,24535,33.66198,-112.34127
Watauga,TX,Texas,,24525,32.85791,-97.25474
Burlington,MA,Massachusetts,,24498,42.50482,-71.19561
San Benito,TX,Texas,,24496,26.13258,-97.6311
Freeport,IL,Illinois,,24476,42.29669,-89.62123
Forest Grove,OR,Oregon,,24457,45.51984,-123.11066
Palmetto Bay,FL,Florida,,24439,25.62177,-80.32477
Staunton,VA,Virginia,,24416,38.14991,-79.0732
Selma,CA,California,,24414,36.57078,-119.61208
South Windsor,CT,Connecticut,,24412,41.82371,-72.6212
North Potomac,MD,Maryland,,24410,39.08289,-77.26498
Homer Glen,IL,Illinois,,24395,41.60003,-87.93811
Coral Terrace,FL,Florida,,24376,25.74593,-80.3045
Norfolk,NE,Nebraska,,24366,42.02834,-97.417
Ridgeland,MS,Mississippi,,24351,32.42848,-90.13231
Scaggsville,MD,Maryland,,24333,39.14511,-76.90025
Cudahy,CA,California,,24311,33.96057,-118.18535
Washington,UT,Utah,,24299,37.13054,-113.50829
New Smyrna Beach,FL,Florida,,24298,29.02582,-80.927
South Plainfield,NJ,New Jersey,,24290,40.57927,-74.41154
Pasadena,MD,Maryland,,24287,39.119,-76.57108
Columbine,CO,Colorado,,24280,39.58777,-105.06943
Greenbelt,MD,Maryland,,24272,39.00455,-76.87553
South Riding,VA,Virginia,,24256,38.92094,-77.50388
Citrus Park,FL,Florida,,24252,28.07835,-82.56982
Boca Del Mar,FL,Florida,,24244,26.34508,-80.14671
Newport,RI,Rhode Island,,24232,41.4901,-71.31283
Norton Shores,MI,Michigan,,24208,43.1689,-86.26395
Barstow Heights,CA,California,,24202,34.86971,-117.05615
Rockville Centre,NY,New York,,24201,40.65871,-73.64124
Searcy,AR,Arkansas,,24196,35.25064,-91.73625
North Platte,NE,Nebraska,,24194,41.12389,-100.76542
Rolling Meadows,IL,Illinois,,24190,42.08419,-88.01313
Carteret,NJ,New Jersey,,24170,40.57733,-74.2282
Immokalee,FL,Florida,,24154,26.41869,-81.4173
Woodlawn,IL,Illinois,,24150,41.77948,-87.59949
Medford,NY,New York,,24142,40.8176,-73.00011
Lawndale,PA,Pennsylvania,,24134,40.05039,-75.09156
Riverbank,CA,California,,24122,37.73604,-120.93549
Zion,IL,Illinois,,24117,42.44613,-87.83285
Trotwood,OH,Ohio,,24096,39.79728,-84.31133
North Haven,CT,Connecticut,,24093,41.39093,-72.85954
Summerlin South,NV,Nevada,,24085,36.11708,-115.33001
Mahwah,NJ,New Jersey,,24062,41.08871,-74.14376
Loma Linda,CA,California,,24045,34.04835,-117.26115
Peekskill,NY,New York,,24043,41.29009,-73.92042
Keystone,FL,Florida,,24039,28.15585,-82.62121
Baldwin,NY,New York,,24033,40.65649,-73.6093
Fairfax,VA,Virginia,,24013,38.84622,-77.30637
Maywood,IL,Illinois,,24012,41.8792,-87.84312
Sebastian,FL,Florida,,24007,27.81641,-80.47061
Holt,MI,Michigan,,23973,42.64059,-84.51525
Muscatine,IA,Iowa,,23968,41.42447,-91.04321
Elk River,MN,Minnesota,,23963,45.30385,-93.56718
Rock Springs,WY,Wyoming,,23962,41.58746,-109.2029
Golden Gate,FL,Florida,,23961,26.18787,-81.69509
